planet_name,period,duration,depth,planet_radius,stellar_temp,stellar_radius,is_planet
Kepler-249 b,3.306551643,1.8177,509.2,0.91,3561.0,0.411,1
Kepler-249 d,15.36845737,2.4714,756.1,1.11,3561.0,0.411,1
Kepler-1730 b,13.81020318,3.048,1309.7,4.56,5942.0,1.142,1
Kepler-722 b,4.093578461,2.5833,538.6,2.85,6077.0,0.999,1
Kepler-722 c,105.145959,8.593,685.4,3.43,6077.0,0.999,1
Kepler-252 c,10.8484518,2.9993,1675.6,2.34,4201.0,0.591,1
Kepler-252 b,6.66833241,1.915,362.3,1.18,4201.0,0.591,1
Kepler-723 b,4.082274889,3.23015,17859.0,10.55,5655.0,0.794,1
Kepler-55 c,42.1406089,5.083,895.5,1.85,4500.0,0.646,1
Kepler-55 e,4.617490562,2.2618,575.8,1.62,4500.0,0.646,1
Kepler-55 f,10.19849255,2.4283,634.1,1.75,4500.0,0.646,1
Kepler-250 c,7.15681552,2.5882,867.0,2.47,5029.0,0.838,1
Kepler-250 d,17.64830851,2.0873,763.3,2.43,5029.0,0.838,1
Kepler-250 b,4.14810719,2.535,175.2,1.08,5029.0,0.838,1
Kepler-251 c,16.51410989,4.1575,973.5,2.72,5527.0,0.866,1
Kepler-251 d,30.1329298,5.172,1015.8,3.14,5527.0,0.866,1
Kepler-251 b,4.79090809,2.603,251.3,1.36,5527.0,0.866,1
Kepler-110 c,31.71981013,4.819,363.4,3.09,5869.0,1.626,1
Kepler-251 e,99.6415962,4.448,952.5,2.64,5527.0,0.866,1
Kepler-720 b,4.708326451,3.16114,7912.7,10.6,5560.0,1.21,1
Kepler-721 b,5.392026903,2.9804,1151.4,2.68,5198.0,0.801,1
Kepler-730 b,6.491682808,4.301,7163.3,9.66,6123.0,1.107,1
Kepler-731 b,3.855603916,3.2179,16653.0,13.61,6033.0,1.046,1
Kepler-468 b,38.47876629,5.04169,23530.0,13.26,5510.0,0.879,1
Kepler-724 b,3.314947362,1.8007,1398.2,3.94,5609.0,0.944,1
Kepler-725 b,39.6431552,6.5292,15664.0,10.98,5231.0,0.9,1
Kepler-726 b,21.80451611,3.4097,1144.9,2.6,5481.0,0.708,1
Kepler-253 c,10.28194593,3.4366,1110.7,2.53,5196.0,0.775,1
Kepler-253 d,18.11993039,4.2309,1506.9,2.95,5196.0,0.775,1
Kepler-253 b,3.78402867,1.9012,426.1,1.7,5196.0,0.775,1
Kepler-727 b,5.15448142,3.228,697.5,2.94,5431.0,0.884,1
Kepler-469 b,33.80364366,11.4813,13494.0,20.7,5855.0,1.796,0
Kepler-728 b,5.743469797,3.4412,1240.2,3.13,5897.0,0.891,1
Kepler-729 b,3.166353562,3.3129,1473.4,3.82,6007.0,0.998,1
Kepler-256 c,3.388012244,2.6849,280.1,2.11,5553.0,1.25,1
Kepler-256 d,5.83909761,3.1915,273.6,2.06,5553.0,1.25,1
Kepler-256 b,1.620467654,2.1888,159.6,1.57,5553.0,1.25,1
Kepler-256 e,10.6816951,3.605,307.8,2.3,5553.0,1.25,1
Kepler-734 b,6.104849417,4.6912,2090.3,3.18,5085.0,0.712,1
Kepler-77 b,3.578780566,2.91089,11382.0,10.43,5524.0,0.994,1
Kepler-254 b,5.826657508,2.9183,1539.1,4.09,5561.0,1.06,1
Kepler-254 c,12.41216347,3.739,611.3,2.58,5561.0,1.06,1
Kepler-254 d,18.74649011,3.895,796.8,3.05,5561.0,1.06,1
Kepler-31 b,20.86021229,5.1937,1910.5,5.5,6035.0,1.257,1
Kepler-31 c,42.63427848,6.1998,1719.3,5.22,6035.0,1.257,1
Kepler-31 d,87.6476068,8.871,1009.6,4.0,6035.0,1.257,1
Kepler-732 b,9.467821474,2.4327,2237.0,2.13,3582.0,0.458,1
Kepler-732 c,0.893040969,1.0981,741.7,1.24,3582.0,0.458,1
Kepler-15 b,4.942783419,3.25346,11145.0,10.62,5514.0,0.978,1
Kepler-733 b,20.83426731,4.0454,988.4,2.74,5537.0,0.88,1
Kepler-255 c,9.94602357,3.3862,994.5,3.12,5344.0,1.013,1
Kepler-255 d,1.04562195,1.8955,213.0,1.45,5344.0,1.013,1
Kepler-255 b,5.71462396,2.336,297.8,1.78,5344.0,1.013,1
Kepler-24 b,8.14515981,5.073,446.8,3.43,5896.0,1.24,1
Kepler-24 e,18.9985279,4.529,430.7,43.17,5896.0,1.24,1
Kepler-24 d,4.24439049,3.282,174.0,2.07,5896.0,1.24,1
Kepler-112 c,28.5742692,4.9427,824.9,2.32,5551.0,0.812,1
Kepler-1739 b,7.34373964,1.1784,574.4,1.84,5757.0,0.762,1
Kepler-111 c,224.7789355,11.1899,3487.5,7.67,5873.0,1.235,1
Kepler-769 b,7.42608123,3.6379,443.3,2.47,6049.0,1.176,1
Kepler-769 c,15.9868932,4.158,178.5,1.62,6049.0,1.176,1
Kepler-770 b,18.92537246,3.9835,640.9,13.92,4941.0,4.885,1
Kepler-784 b,31.5925809,13.566,145.1,1.78,5676.0,1.487,1
Kepler-784 c,17.157236,11.284,110.4,1.55,5676.0,1.487,1
Kepler-785 b,1.97376085,1.82542,30222.0,8.78,3807.0,0.503,1
Kepler-21 b,2.785821236,3.5599,68.9,1.69,6202.0,1.733,1
Kepler-755 b,1.269091415,1.4647,340.9,1.41,5041.0,0.766,1
Kepler-755 c,2.853133997,1.465,277.1,1.36,5041.0,0.766,1
Kepler-1734 b,6.79685353,3.1702,393.1,2.01,6061.0,0.97,1
Kepler-770 c,1.475323222,2.3155,154.9,5.88,4941.0,4.885,1
Kepler-770 d,4.15246118,2.5755,223.4,7.62,4941.0,4.885,1
Kepler-771 b,8.7348852,4.49,270.7,1.59,5982.0,0.96,1
Kepler-265 c,17.02902786,4.645,568.9,2.54,5839.0,1.067,1
Kepler-265 b,6.84619236,3.529,246.8,1.67,5839.0,1.067,1
Kepler-265 e,67.8321638,7.358,507.8,2.39,5839.0,1.067,1
Kepler-265 d,43.1312147,3.198,447.8,2.39,5839.0,1.067,1
Kepler-756 b,1.224866441,1.7086,196.0,1.54,5553.0,1.107,1
Kepler-1736 b,37.8102649,8.733,570.3,2.33,6085.0,0.973,1
Kepler-268 b,25.93406406,4.6142,414.5,2.48,5952.0,1.225,1
Kepler-268 c,83.4463485,6.536,503.0,2.73,5952.0,1.225,1
Kepler-772 b,12.99204853,6.0175,270.6,2.03,5765.0,1.242,1
Kepler-79 d,52.09081627,8.6388,2894.1,7.14,6198.0,1.324,1
Kepler-1973 b,4.28746668,1.5693,790.1,2.29,5296.0,0.815,1
Kepler-260 b,8.18739443,3.0472,517.6,1.92,5251.0,0.849,1
Kepler-260 c,76.0498163,7.158,445.9,1.75,5251.0,0.849,1
Kepler-111 b,3.341799486,2.9254,178.2,1.67,5873.0,1.235,1
Kepler-773 b,3.749105745,1.9826,182.6,1.68,5751.0,0.983,1
Kepler-774 b,11.08956602,6.2877,148.1,3.51,6353.0,2.867,1
Kepler-415 c,8.70798309,2.4904,1419.6,2.01,4362.0,0.554,1
Kepler-415 b,4.17634276,2.335,531.5,1.23,4362.0,0.554,1
Kepler-79 c,27.40229859,6.8491,747.5,3.63,6198.0,1.324,1
Kepler-743 b,3.179267286,1.0246,200.9,1.21,5511.0,0.857,1
Kepler-261 b,10.38122447,2.715,801.5,2.18,5095.0,0.78,1
Kepler-261 c,24.5709023,3.587,764.2,2.82,5095.0,0.78,1
Kepler-43 b,3.024092505,2.8021,7765.0,12.14,6063.0,1.358,1
Kepler-757 b,1.022678654,1.3712,129.2,1.14,5366.0,1.02,1
Kepler-758 b,12.10968709,6.3461,284.7,2.98,6021.0,1.458,1
Kepler-758 c,4.75796103,4.66,124.5,1.7,6021.0,1.458,1
Kepler-758 d,20.4972755,8.536,242.9,2.96,6021.0,1.458,1
Kepler-786 b,53.5292702,5.668,1086.1,2.28,4736.0,0.708,1
Kepler-1741 b,2.757584622,0.9267,563.1,1.01,3683.0,0.424,1
Kepler-787 b,0.928310036,1.1899,376.2,1.16,4109.0,0.602,1
Kepler-79 b,13.48457668,5.0197,653.5,3.39,6198.0,1.324,1
Kepler-276 c,31.8841473,6.122,910.0,3.7,5779.0,0.974,1
Kepler-744 b,12.06222962,2.0584,300.2,1.62,5547.0,0.933,1
Kepler-745 b,9.93146307,5.678,398.6,2.41,5782.0,1.22,1
Kepler-262 c,21.85362905,3.439,355.6,1.75,5830.0,0.876,1
Kepler-758 e,8.19345065,5.234,115.4,1.74,6021.0,1.458,1
Kepler-759 b,41.8059544,6.057,434.4,2.02,5907.0,0.973,1
Kepler-48 b,4.77800306,2.7361,473.0,1.85,5192.0,0.873,1
Kepler-269 b,5.32667299,3.4045,611.4,2.26,5831.0,0.921,1
Kepler-1740 b,8.17242644,3.902,864.3,3.29,5705.0,0.905,1
Kepler-262 b,13.0607936,3.215,236.6,1.45,5830.0,0.876,1
Kepler-760 b,8.70420525,2.9385,1074.9,2.86,5074.0,0.863,1
Kepler-269 c,8.1280933,3.727,224.1,1.39,5831.0,0.921,1
Kepler-775 b,0.974868896,1.6191,197.6,1.16,5487.0,0.832,1
Kepler-776 b,4.89721006,1.812,274.4,1.48,5093.0,0.847,1
Kepler-275 c,16.08832318,5.731,597.8,3.42,6157.0,1.33,1
Kepler-275 b,10.30067919,4.885,271.8,2.2,6157.0,1.33,1
Kepler-275 d,35.6757453,7.381,471.2,3.02,6157.0,1.33,1
Kepler-263 b,16.56806842,4.2647,1331.4,2.54,4987.0,0.716,1
Kepler-263 c,47.3329299,2.708,931.5,2.18,4987.0,0.716,1
Kepler-264 b,40.8065333,13.135,313.9,3.71,6207.0,2.097,1
Kepler-760 c,2.46697039,1.6345,308.7,1.56,5074.0,0.863,1
Kepler-266 b,6.61836309,3.6813,549.1,2.98,5529.0,1.294,1
Kepler-266 c,107.7214092,8.042,1396.2,4.75,5529.0,1.294,1
Kepler-48 c,9.673958488,3.2641,952.7,2.63,5192.0,0.873,1
Kepler-276 b,14.12847677,3.685,628.7,2.73,5779.0,0.974,1
Kepler-276 d,48.6478543,5.464,641.8,4.14,5779.0,0.974,1
Kepler-788 b,8.39842977,6.344,340.1,2.0,6309.0,1.044,1
Kepler-789 b,8.63847391,5.4566,395.9,5.99,5684.0,3.046,1
Kepler-264 c,140.10765,18.503,266.8,3.42,6207.0,2.097,1
Kepler-746 b,3.4815917,1.8069,135.2,1.17,5405.0,1.022,1
Kepler-747 b,35.61760233,8.4559,4634.9,5.17,5123.0,0.779,1
Kepler-761 b,10.12805158,3.517,477.4,1.95,5676.0,0.82,1
Kepler-762 b,3.770551475,3.8077,12440.0,12.05,6322.0,1.075,1
Kepler-777 b,5.72812616,2.0295,643.4,1.38,3968.0,0.548,1
Kepler-778 b,3.75574267,2.2911,417.4,1.58,5311.0,0.788,1
Kepler-257 c,6.581477136,3.0896,2318.9,4.56,5188.0,0.973,1
Kepler-470 b,24.669192732,7.03515,7382.3,77.76,5313.0,9.327,1
Kepler-257 b,2.382652873,1.8888,705.4,2.74,5188.0,0.973,1
Kepler-257 d,24.66461416,2.8579,2398.8,5.34,5188.0,0.973,1
Kepler-735 b,11.51517167,2.006,1357.4,2.9,5177.0,0.798,1
Kepler-18 c,7.641567589,3.41018,2269.7,4.91,5356.0,1.055,1
Kepler-748 b,7.40742502,3.675,442.0,2.01,5922.0,0.961,1
Kepler-88 b,10.916108342,3.6496,1479.0,3.93,5575.0,0.932,1
Kepler-267 b,3.353732008,1.4598,1264.7,1.65,3789.0,0.46,1
Kepler-267 c,6.877446033,1.3692,1632.3,2.05,3789.0,0.46,1
Kepler-267 d,28.46464804,2.6657,1629.8,1.87,3789.0,0.46,1
Kepler-48 d,42.89645024,5.6897,555.3,2.0,5192.0,0.873,1
Kepler-779 b,7.09712124,2.1059,369.5,0.74,3569.0,0.389,1
Kepler-736 b,3.601465336,2.2753,777.7,2.31,5052.0,0.855,1
Kepler-1666 b,25.8474958,5.985,537.4,2.4,6297.0,1.031,1
Kepler-1666 c,40.715561,6.894,680.9,2.7,6297.0,1.031,1
Kepler-749 b,17.31711739,3.1518,1473.0,2.04,4719.0,0.502,1
Kepler-750 b,9.42889884,4.4481,565.4,4.39,5897.0,1.86,1
Kepler-763 d,6.50327035,2.591,418.3,1.67,4999.0,0.843,1
Kepler-763 c,4.09667624,2.19,302.3,1.42,4999.0,0.843,1
Kepler-763 b,1.196548464,1.2592,224.6,1.25,4999.0,0.843,1
Kepler-270 b,11.47609015,5.046,182.3,2.07,6071.0,1.41,1
Kepler-270 c,25.2630467,6.22,125.5,1.71,6071.0,1.41,1
Kepler-780 b,0.677374687,1.8361,76.7,0.9,5718.0,1.037,1
Kepler-271 b,10.43547031,3.4167,210.2,1.22,5528.0,0.853,1
Kepler-271 c,7.41084314,3.245,124.1,0.94,5528.0,0.853,1
Kepler-737 b,28.59914031,3.6567,1585.1,1.83,3755.0,0.461,1
Kepler-738 b,24.58716355,3.984,907.5,2.37,5474.0,0.749,1
Kepler-739 b,12.53248222,4.0168,1145.9,3.24,5997.0,0.904,1
Kepler-258 b,13.19720694,3.4872,2141.4,4.18,4954.0,0.885,1
Kepler-18 d,14.85890852,3.5252,3269.0,5.94,5356.0,1.055,1
Kepler-750 c,4.08897299,3.585,157.9,2.36,5897.0,1.86,1
Kepler-751 b,17.44486016,4.445,826.9,3.24,5568.0,0.966,1
Kepler-764 b,7.33685101,3.548,325.8,1.52,5795.0,0.848,1
Kepler-1735 b,7.71790675,1.84,306.8,0.9,3975.0,0.509,1
Kepler-765 b,27.6652847,6.633,469.2,2.21,6036.0,1.017,1
